"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"car_share"
"11/27/2024 18:20:02:555 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","over-break-probability","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.3","15000","1","30","0.3","0.3","0.1","355","355","1830","0","4631","6645","4631","2.530601092896175"
"1","0.3","15000","1","30","0.3","0.3","0.1","356","356","1823","0","4617","6659","4617","2.532638507953922"
"1","0.3","15000","1","30","0.3","0.3","0.1","357","357","1821","0","4611","6665","4611","2.5321252059308073"
"1","0.3","15000","1","30","0.3","0.3","0.1","358","358","1815","0","4598","6678","4598","2.533333333333333"
"1","0.3","15000","1","30","0.3","0.3","0.1","359","359","1813","0","4591","6685","4591","2.532266960838389"
"1","0.3","15000","1","30","0.3","0.3","0.1","360","360","1808","0","4577","6699","4577","2.5315265486725664"
"1","0.3","15000","1","30","0.3","0.3","0.1","361","361","1805","0","4565","6711","4565","2.5290858725761773"
"1","0.3","15000","1","30","0.3","0.3","0.1","362","362","1800","0","4555","6721","4555","2.5305555555555554"
"1","0.3","15000","1","30","0.3","0.3","0.1","363","363","1799","0","4552","6724","4552","2.5302946081156197"
"1","0.3","15000","1","30","0.3","0.3","0.1","364","364","1796","0","4542","6734","4542","2.5289532293986636"
"1","0.3","15000","1","30","0.3","0.3","0.1","365","365","1789","0","4522","6754","4522","2.5276690888764675"
"1","0.3","15000","1","30","0.3","0.3","0.1","366","366","1783","0","4501","6775","4501","2.5243970835670217"
"1","0.3","15000","1","30","0.3","0.3","0.1","367","367","1781","0","4498","6778","4498","2.5255474452554743"
"1","0.3","15000","1","30","0.3","0.3","0.1","368","368","1778","0","4492","6784","4492","2.5264341957255345"
"1","0.3","15000","1","30","0.3","0.3","0.1","369","369","1775","0","4484","6792","4484","2.5261971830985916"
"1","0.3","15000","1","30","0.3","0.3","0.1","370","370","1767","0","4466","6810","4466","2.527447651386531"
"1","0.3","15000","1","30","0.3","0.3","0.1","371","371","1767","0","4466","6810","4466","2.527447651386531"
"1","0.3","15000","1","30","0.3","0.3","0.1","372","372","1763","0","4453","6823","4453","2.5258082813386276"
"1","0.3","15000","1","30","0.3","0.3","0.1","373","373","1758","0","4441","6835","4441","2.526166097838453"
"1","0.3","15000","1","30","0.3","0.3","0.1","374","374","1752","0","4422","6854","4422","2.5239726027397262"
"1","0.3","15000","1","30","0.3","0.3","0.1","375","375","1746","0","4408","6868","4408","2.524627720504009"
"1","0.3","15000","1","30","0.3","0.3","0.1","376","376","1741","0","4396","6880","4396","2.5249856404365305"
"1","0.3","15000","1","30","0.3","0.3","0.1","377","377","1736","0","4383","6893","4383","2.5247695852534564"
"1","0.3","15000","1","30","0.3","0.3","0.1","378","378","1730","0","4371","6905","4371","2.5265895953757225"
"1","0.3","15000","1","30","0.3","0.3","0.1","379","379","1721","0","4353","6923","4353","2.529343404997095"
"1","0.3","15000","1","30","0.3","0.3","0.1","380","380","1719","0","4348","6928","4348","2.529377545084351"
"1","0.3","15000","1","30","0.3","0.3","0.1","381","381","1717","0","4340","6936","4340","2.5276645311589983"
"1","0.3","15000","1","30","0.3","0.3","0.1","382","382","1709","0","4322","6954","4322","2.5289643066120537"
"1","0.3","15000","1","30","0.3","0.3","0.1","383","383","1707","0","4317","6959","4317","2.5289982425307556"
"1","0.3","15000","1","30","0.3","0.3","0.1","384","384","1705","0","4312","6964","4312","2.529032258064516"
"1","0.3","15000","1","30","0.3","0.3","0.1","385","385","1702","0","4306","6970","4306","2.529964747356052"
"1","0.3","15000","1","30","0.3","0.3","0.1","386","386","1696","0","4292","6984","4292","2.5306603773584904"
"1","0.3","15000","1","30","0.3","0.3","0.1","387","387","1692","0","4279","6997","4279","2.5289598108747047"
"1","0.3","15000","1","30","0.3","0.3","0.1","388","388","1689","0","4274","7002","4274","2.5304914150384845"
"1","0.3","15000","1","30","0.3","0.3","0.1","389","389","1681","0","4251","7025","4251","2.5288518738845926"
