"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"car_share2"
"11/25/2024 19:38:31:968 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","over-break-probability","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.3","15000","1","30","0.3","0.3","0.06","56","56","2092","0","3782","645","3782","1.8078393881453154"
"1","0.3","15000","1","30","0.3","0.3","0.06","57","57","2091","0","3781","646","3781","1.8082257293161166"
"1","0.3","15000","1","30","0.3","0.3","0.06","58","58","2090","0","3779","648","3779","1.808133971291866"
"1","0.3","15000","1","30","0.3","0.3","0.06","59","59","2085","0","3771","656","3771","1.8086330935251798"
"1","0.3","15000","1","30","0.3","0.3","0.06","60","60","2082","0","3765","662","3765","1.80835734870317"
"1","0.3","15000","1","30","0.3","0.3","0.06","61","61","2081","0","3763","664","3763","1.8082652570879385"
"1","0.3","15000","1","30","0.3","0.3","0.06","62","62","2080","0","3761","666","3761","1.8081730769230768"
"1","0.3","15000","1","30","0.3","0.3","0.06","63","63","2077","0","3757","670","3757","1.8088589311506982"
"1","0.3","15000","1","30","0.3","0.3","0.06","64","64","2077","0","3757","670","3757","1.8088589311506982"
"1","0.3","15000","1","30","0.3","0.3","0.06","65","65","2073","0","3750","677","3750","1.808972503617945"
"1","0.3","15000","1","30","0.3","0.3","0.06","66","66","2070","0","3744","683","3744","1.808695652173913"
"1","0.3","15000","1","30","0.3","0.3","0.06","67","67","2068","0","3740","687","3740","1.8085106382978724"
"1","0.3","15000","1","30","0.3","0.3","0.06","68","68","2065","0","3736","691","3736","1.8092009685230024"
"1","0.3","15000","1","30","0.3","0.3","0.06","69","69","2063","0","3732","695","3732","1.8090159961221521"
"1","0.3","15000","1","30","0.3","0.3","0.06","70","70","2063","0","3732","695","3732","1.8090159961221521"
"1","0.3","15000","1","30","0.3","0.3","0.06","71","71","2063","0","3732","695","3732","1.8090159961221521"
"1","0.3","15000","1","30","0.3","0.3","0.06","72","72","2063","0","3732","695","3732","1.8090159961221521"
"1","0.3","15000","1","30","0.3","0.3","0.06","73","73","2062","0","3731","696","3731","1.8094083414161009"
"1","0.3","15000","1","30","0.3","0.3","0.06","74","74","2060","0","3728","699","3728","1.8097087378640777"
"1","0.3","15000","1","30","0.3","0.3","0.06","75","75","2055","0","3718","709","3718","1.8092457420924575"
"1","0.3","15000","1","30","0.3","0.3","0.06","76","76","2053","0","3714","713","3714","1.8090599123234292"
"1","0.3","15000","1","30","0.3","0.3","0.06","77","77","2053","0","3714","713","3714","1.8090599123234292"
"1","0.3","15000","1","30","0.3","0.3","0.06","78","78","2052","0","3712","715","3712","1.8089668615984404"
"1","0.3","15000","1","30","0.3","0.3","0.06","79","79","2049","0","3707","720","3707","1.8091752074182528"
"1","0.3","15000","1","30","0.3","0.3","0.06","80","80","2048","0","3705","722","3705","1.80908203125"
"1","0.3","15000","1","30","0.3","0.3","0.06","81","81","2048","0","3705","722","3705","1.80908203125"
"1","0.3","15000","1","30","0.3","0.3","0.06","82","82","2046","0","3702","725","3702","1.8093841642228738"
"1","0.3","15000","1","30","0.3","0.3","0.06","83","83","2046","0","3702","725","3702","1.8093841642228738"
"1","0.3","15000","1","30","0.3","0.3","0.06","84","84","2046","0","3702","725","3702","1.8093841642228738"
"1","0.3","15000","1","30","0.3","0.3","0.06","85","85","2044","0","3698","729","3698","1.8091976516634052"
"1","0.3","15000","1","30","0.3","0.3","0.06","86","86","2044","0","3698","729","3698","1.8091976516634052"
"1","0.3","15000","1","30","0.3","0.3","0.06","87","87","2041","0","3693","734","3693","1.809407153356198"
"1","0.3","15000","1","30","0.3","0.3","0.06","88","88","2040","0","3691","736","3691","1.809313725490196"
"1","0.3","15000","1","30","0.3","0.3","0.06","89","89","2037","0","3686","741","3686","1.8095238095238095"
"1","0.3","15000","1","30","0.3","0.3","0.06","90","90","2037","0","3686","741","3686","1.8095238095238095"
"1","0.3","15000","1","30","0.3","0.3","0.06","91","91","2035","0","3682","745","3682","1.8093366093366094"
"1","0.3","15000","1","30","0.3","0.3","0.06","92","92","2031","0","3677","750","3677","1.810438207779419"
"1","0.3","15000","1","30","0.3","0.3","0.06","93","93","2030","0","3675","752","3675","1.8103448275862069"
"1","0.3","15000","1","30","0.3","0.3","0.06","94","94","2025","0","3666","761","3666","1.8103703703703704"
"1","0.3","15000","1","30","0.3","0.3","0.06","95","95","2023","0","3662","765","3662","1.810182896688087"
"1","0.3","15000","1","30","0.3","0.3","0.06","96","96","2022","0","3660","767","3660","1.8100890207715135"
"1","0.3","15000","1","30","0.3","0.3","0.06","97","97","2021","0","3658","769","3658","1.809995051954478"
"1","0.3","15000","1","30","0.3","0.3","0.06","98","98","2018","0","3652","775","3652","1.8097125867195243"
"1","0.3","15000","1","30","0.3","0.3","0.06","99","99","2016","0","3649","778","3649","1.8100198412698412"
"1","0.3","15000","1","30","0.3","0.3","0.06","100","100","2012","0","3642","785","3642","1.8101391650099403"
"1","0.3","15000","1","30","0.3","0.3","0.06","101","101","3637","325","6827","793","6502","1.78773714599945"
"1","0.3","15000","1","30","0.3","0.3","0.06","102","102","3635","319","6817","803","6498","1.7876203576341128"
"1","0.3","15000","1","30","0.3","0.3","0.06","103","103","3634","313","6809","811","6496","1.7875619152449091"
"1","0.3","15000","1","30","0.3","0.3","0.06","104","104","3633","310","6804","816","6494","1.7875034406826313"
"1","0.3","15000","1","30","0.3","0.3","0.06","105","105","3630","310","6798","822","6488","1.78732782369146"
"1","0.3","15000","1","30","0.3","0.3","0.06","106","106","3627","301","6783","837","6482","1.7871519161841742"
"1","0.3","15000","1","30","0.3","0.3","0.06","107","107","3627","293","6775","845","6482","1.7871519161841742"
"1","0.3","15000","1","30","0.3","0.3","0.06","108","108","3626","293","6773","847","6480","1.7870932156646442"
"1","0.3","15000","1","30","0.3","0.3","0.06","109","109","3624","293","6769","851","6476","1.7869757174392935"
"1","0.3","15000","1","30","0.3","0.3","0.06","110","110","3624","281","6757","863","6476","1.7869757174392935"
"1","0.3","15000","1","30","0.3","0.3","0.06","111","111","3623","272","6746","874","6474","1.7869169196798234"
"1","0.3","15000","1","30","0.3","0.3","0.06","112","112","3622","255","6727","893","6472","1.7868580894533408"
"1","0.3","15000","1","30","0.3","0.3","0.06","113","113","3618","241","6705","915","6464","1.7866224433388613"
"1","0.3","15000","1","30","0.3","0.3","0.06","114","114","3614","232","6690","930","6458","1.78693967902601"
"1","0.3","15000","1","30","0.3","0.3","0.06","115","115","3612","232","6686","934","6454","1.7868217054263567"
"1","0.3","15000","1","30","0.3","0.3","0.06","116","116","3610","218","6668","952","6450","1.7867036011080333"
"1","0.3","15000","1","30","0.3","0.3","0.06","117","117","3610","201","6651","969","6450","1.7867036011080333"
"1","0.3","15000","1","30","0.3","0.3","0.06","118","118","3607","186","6631","989","6445","1.7868034377599114"
"1","0.3","15000","1","30","0.3","0.3","0.06","119","119","3606","174","6617","1003","6443","1.7867443150305047"
