car_id,passengers,ideal_time,actual_time
17497,1,1.44,47
10001,1,1.325,66
17362,1,1.1275,78
9539,1,1.8574999999999997,78
23312,2,1.5424999999999998,93
15338,1,1.9574999999999998,138
16387,1,2.255,139
31028,1,1.6899999999999997,141
16967,1,2.0225,160
23643,1,1.6899999999999997,183
20241,1,3.1224999999999996,192
26631,1,2.1475,214
2188,1,2.8025,222
22398,1,1.585,226
2511,1,3.0675,230
15442,2,2.0774999999999997,133
31549,1,2.494999999999999,136
31716,1,0.2825,141
1376,1,1.6899999999999997,144
3603,1,3.2199999999999998,254
5835,1,2.6975,158
29792,1,1.3875,266
7644,1,1.5125,168
25288,1,1.6899999999999997,172
616,1,6.294999999999999,327
30650,1,3.205,343
28040,1,2.5625,351
9537,1,7.377499999999999,355
2382,1,3.5225,359
5485,2,3.5074999999999994,363
13309,1,4.409999999999999,377
721,1,4.3325,387
4552,1,5.22,390
5872,1,2.255,302
28541,1,5.14,418
3738,1,1.7549999999999997,136
7564,1,2.5725,446
13530,1,3.92,462
22017,1,3.2074999999999996,477
15652,1,1.9574999999999998,181
18774,1,4.172499999999999,489
13824,1,3.6224999999999996,491
18404,1,3.6449999999999996,202
28505,1,5.914999999999999,518
18386,1,3.5474999999999994,518
10006,1,1.6899999999999997,125
31215,1,4.512499999999999,531
22831,1,1.795,340
7248,3,2.329999999999999,240
26139,1,3.925,548
25102,1,10.320000000000002,557
6807,1,3.999999999999999,571
9712,1,5.474999999999999,573
16097,1,2.6975,177
26588,1,6.6499999999999995,579
10983,1,3.4699999999999998,579
24322,1,4.887499999999998,583
14215,1,1.1275,283
10382,1,1.8475000000000001,401
21665,1,3.6899999999999995,602
1133,1,2.0225,312
2078,1,1.795,331
21317,1,3.1425,537
13044,1,3.539999999999999,644
5836,1,3.5650000000000004,544
16143,1,1.4974999999999998,354
31151,1,7.049999999999998,677
24949,1,1.3775,392
3123,1,8.11,702
26917,1,2.329999999999999,104
1879,1,2.34,105
25236,1,1.0675,26
7855,1,7.5325,731
7811,1,2.0799999999999996,638
17116,1,2.4399999999999995,38
8018,2,2.5249999999999995,63
7409,1,5.159999999999999,771
20892,1,3.38,682
9729,1,6.214999999999997,783
21565,1,6.22,784
2084,1,6.104999999999999,820
31764,1,2.5625,748
26633,1,4.1975,855
30852,1,3.8625000000000007,757
22638,1,4.887499999999998,873
15055,1,4.887499999999998,773
23240,1,1.3974999999999997,89
21719,1,3.05,896
4202,1,3.6449999999999996,102
9368,1,1.44,806
19865,1,1.5125,121
8217,1,1.5424999999999998,145
9089,1,5.324999999999998,954
31514,1,6.579999999999998,955
23020,1,2.4825,877
17699,1,2.5875000000000004,979
6198,1,2.3525,887
6200,1,0.9375,496
14735,1,5.464999999999999,1000
14965,1,10.090000000000003,1002
21056,1,2.6950000000000003,903
28824,1,4.225,1015
32006,1,4.942499999999997,1025
20635,1,3.0525,730
20087,1,2.705,949
23486,1,3.0675,854
21133,1,3.0675,755
19737,1,3.1774999999999993,794
12205,1,2.6674999999999995,997
26864,1,3.7150000000000007,830
19795,1,4.765,1147
10005,1,3.0675,1064
7748,1,2.12,1067
30687,1,1.325,70
743,1,4.29,1172
9696,1,1.7549999999999997,72
16093,1,11.827142857142855,1197
18526,2,1.44,811
12387,1,3.6449999999999996,14
18193,1,4.159999999999999,1241
11983,1,1.355,1152
7084,1,3.205,955
7715,1,2.925,1167
28030,1,3.0600000000000005,1194
21435,1,0.9799999999999999,798
17385,1,6.389999999999999,1302
13695,1,4.1,1309
366,1,2.3925,1225
27588,1,4.519999999999999,1343
5704,1,5.912499999999999,1353
16941,1,2.8775000000000004,1269
30710,1,9.2375,1404
10546,1,4.4025,1322
16951,1,2.329999999999999,29
23206,1,3.6449999999999996,30
