"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"pop"
"11/21/2024 20:56:27:702 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","over-break-p","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","46","46","1103","0","3182","381","3182","2.8848594741613782"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","47","47","1096","0","3163","400","3163","2.885948905109489"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","48","48","1096","0","3163","400","3163","2.885948905109489"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","49","49","1095","0","3158","405","3158","2.884018264840183"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","50","50","1094","0","3158","405","3158","2.886654478976234"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","51","51","1094","0","3158","405","3158","2.886654478976234"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","52","52","1093","0","3158","405","3158","2.889295516925892"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","53","53","1093","0","3158","405","3158","2.889295516925892"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","54","54","1088","0","3149","414","3149","2.8943014705882355"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","55","55","1088","0","3149","414","3149","2.8943014705882355"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","56","56","1088","0","3149","414","3149","2.8943014705882355"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","57","57","1087","0","3145","418","3145","2.893284268629255"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","58","58","1085","0","3138","425","3138","2.8921658986175114"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","59","59","1085","0","3138","425","3138","2.8921658986175114"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","60","60","1083","0","3136","427","3136","2.8956602031394274"
